Name,Location,Price,Monthly Payment,Milage (KM),Ownership,Transmission
2021 BMW X7 M50d,"Sandton Central, Sandton",R 1 999 900,R            38 066     p/m,18 000 km,Used Car,Automatic
2020 Mercedes-Benz GLS GLS580 4Matic AMG Line,"Bryanston, Sandton",R 1 999 900,R            38 066     p/m,46 000 km,Used Car,Automatic
2019 Land Rover Range Rover Vogue SE SDV8,"Sandown, Sandton",R 1 999 900,R            38 066     p/m,43 500 km,Used Car,Automatic
2022 Land Rover Defender 110 D300 X-Dynamic HSE,"Little Falls, Roodepoort",R 1 999 900,R            38 066     p/m,100 km,Used Car,Automatic
2022 Audi Q8 55TFSI Quattro,"Sandown, Sandton",R 1 999 900,R            38 066     p/m,100 km,Used Car,Automatic
2022 BMW 7 Series 730Ld M Sport,"Bedfordview, Bedfordview",POA,,4 000 km,Used Car,Automatic
,,,,4 000 km,Used Car,Automatic
2022 Fiat 500X 1.4T Sport,,R 529 900,R            10 086     p/m,4 000 km,Used Car,Automatic
2022 Fiat 500X 1.4T Sport,,R 529 900,R            10 086     p/m,4 000 km,Used Car,Automatic
2022 Fiat 500X 1.4T Sport,,R 529 900,R            10 086     p/m,4 000 km,Used Car,Automatic
2022 Toyota Fortuner 2.8GD-6 VX,"Sandown, Sandton",R 1 999 900,R            38 066     p/m,45 km,Used Car,Automatic
2022 Land Rover Range Rover Sport HSE Silver TDV6,"Waterford Estates, Randburg",R 1 999 000,R            38 049     p/m,1 000 km,Used Car,Automatic
2022 BMW 7 Series 740Li M Sport,"Vorna Valley, Midrand",POA,,4 000 km,Used Car,Automatic
2021 Maserati Levante Levante,"Kramerville, Sandton",R 1 999 000,R            38 049     p/m,4 600 km,Used Car,Automatic
2016 Mercedes-Benz ML ML63 AMG Performance,"Kramerville, Sandton",R 1 999 000,R            38 049     p/m,85 000 km,Used Car,Automatic
2021 Jeep Grand Cherokee Trackhawk,"Kramerville, Sandton",R 1 999 000,R            38 049     p/m,20 000 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Kramerville, Sandton",R 1 999 000,R            38 049     p/m,3 700 km,Used Car,Automatic
2016 Aston Martin DB9 GT Volante,"Kramerville, Sandton",R 1 999 000,R            38 049     p/m,49 000 km,Used Car,Automatic
2016 Audi R8 Coupe 5.2 V10 Plus Quattro,"Centurion Central, Centurion",R 1 999 000,R            38 049     p/m,28 000 km,Used Car,Automatic
2022 BMW X3 M competition,"Vorna Valley, Midrand",POA,,5 400 km,Used Car,Automatic
2018 Porsche 911 Carrera GTS Coupe Auto,,R 1 899 995,R            36 165     p/m,8 000 km,Used Car,Automatic
2013 Volkswagen Golf R Auto,,R 299 900,R            5 708     p/m,95 000 km,Used Car,Automatic
2019 Porsche Cayenne S,,R 1 359 000,R            25 867     p/m,61 500 km,Used Car,Automatic
2022 BMW X3 M competition,"Vorna Valley, Midrand",POA,,5 400 km,Used Car,Automatic
1989 Porsche 911 Carrera,"Kensington B, Randburg",R 1 999 000,R            38 049     p/m,76 000 km,Used Car,Manual
2021 BMW X7 M50d,"Oakdene, Johannesburg",R 1 998 000,R            38 030     p/m,20 500 km,Used Car,Automatic
,,,,20 500 km,Used Car,Automatic
2022 Porsche Cayenne S Platinum Edition,"Paulshof, Sandton",R 1 995 000,R            37 973     p/m,1 500 km,Used Car,Automatic
2014 Bentley Continental GT Speed W12,"Birnam, Johannesburg",R 1 995 000,R            37 973     p/m,37 300 km,Used Car,Automatic
2021 Mercedes-Benz V-Class V300d Exclusive,"Sandton Central, Sandton",R 1 989 950,R            37 877     p/m,4 781 km,Used Car,Automatic
2022 Land Rover Defender 110 D300 X-Dynamic HSE,"Glen Nerine, Sandton",R 1 989 900,R            37 876     p/m,912 km,Used Car,Automatic
2021 Toyota Land Cruiser 300 3.5T ZX,"Northgate, Randburg",R 1 989 900,R            37 876     p/m,19 500 km,Used Car,Automatic
2020 Land Rover Range Rover Sport HSE Dynamic Supercharged,"Weltevreden Park, Roodepoort",R 1 979 950,R            37 687     p/m,39 400 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Woodmead, Sandton",R 1 979 950,R            37 687     p/m,6 000 km,Used Car,Automatic
2016 Datsun Go 1.2 Lux,,R 99 000,R            1 884     p/m,88 190 km,Used Car,Manual
2015 Toyota Hilux 2.0 S,,R 199 900,R            3 805     p/m,251 874 km,Used Car,Manual
2013 Audi Q5 2.0TDI S Quattro Auto,,R 249 500,R            4 749     p/m,161 837 km,Used Car,Automatic
2022 BMW X5 M50i,"Bedfordview, Bedfordview",POA,,4 000 km,Used Car,Automatic
2021 BMW X7 M50d,"Bryanston, Sandton",R 1 979 000,R            37 668     p/m,21 000 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V250d Avantgarde AMG Line,"Newlands, Pretoria",R 1 974 900,R            37 590     p/m,2 093 km,Used Car,Automatic
2022 BMW X3 M competition,"Parkdene, Boksburg",R 1 967 000,R            37 440     p/m,4 250 km,Used Car,Automatic
2021 BMW X7 M50d,"Cresta, Randburg",R 1 960 000,R            37 307     p/m,9 353 km,Used Car,Automatic
2020 Land Rover Range Rover Sport HSE Dynamic Supercharged,"Bedfordview, Bedfordview",R 1 959 950,R            37 306     p/m,33 000 km,Used Car,Automatic
2008 Ferrari 599 GTB,"Needwood, Randburg",R 1 950 000,R            37 116     p/m,54 500 km,Used Car,Automatic
2022 Audi Q8 55TFSI Quattro,"Waterkloof Glen, Pretoria",R 1 950 000,R            37 116     p/m,54 500 km,Used Car,Automatic
2017 Porsche 911 Carrera 4 GTS Cabriolet Auto,"Bryanston, Sandton",R 1 949 999,R            37 116     p/m,10 000 km,Used Car,Automatic
2022 Jaguar F-Pace SVR,"Oakdene, Johannesburg",R 1 949 995,R            37 116     p/m,250 km,Used Car,Automatic
2022 Kia Sportage 1.6GDI Ignite,,R 439 999,R            8 375     p/m,5 214 km,Demo,Automatic
2017 Toyota Hilux 2.4GD-6 SRX,,R 264 000,R            5 025     p/m,105 000 km,Used Car,Manual
2012 Audi Q3 2.0T Quattro,,R 199 950,R            3 806     p/m,180 561 km,Used Car,Manual
2019 Land Rover Range Rover Vogue SE SDV8,"Morningside, Sandton",R 1 949 995,R            37 116     p/m,54 658 km,Used Car,Automatic
2019 Nissan GT-R Black Edition,"Bedfordview, Bedfordview",R 1 949 950,R            37 116     p/m,20 000 km,Used Car,Automatic
2022 Land Rover Defender 110 D300 X-Dynamic HSE,"Bedfordview, Bedfordview",R 1 949 950,R            37 116     p/m,150 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V250d Avantgarde AMG Line,"Constantia Kloof, Roodepoort",R 1 949 950,R            37 116     p/m,1 500 km,Used Car,Automatic
2022 Mercedes-Benz GLE GLE400d Coupe 4Matic AMG Line,"Midridge Park, Midrand",R 1 949 950,R            37 116     p/m,5 000 km,Used Car,Automatic
2022 Land Rover Defender 110 D300 X-Dynamic HSE,"Ormonde, Johannesburg",R 1 949 900,R            37 115     p/m,500 km,Used Car,Automatic
2018 Mercedes-AMG GT GT C Roadster,"Vorna Valley, Midrand",R 1 949 900,R            37 115     p/m,8 500 km,Used Car,Automatic
2021 BMW M3 Competition,"Vorna Valley, Midrand",R 1 949 000,R            37 097     p/m,3 800 km,Used Car,Automatic
2022 Land Rover Range Rover Sport HSE Silver TDV6,"Waterford Estates, Randburg",R 1 949 000,R            37 097     p/m,50 km,Used Car,Automatic
2021 BMW M3 Competition M Xdrive,"Bardene, Boksburg",R 1 949 000,R            37 097     p/m,6 000 km,Used Car,Automatic
2022 Haval H6 2.0T Luxury,,R 469 900,R            8 944     p/m,18 000 km,Used Car,Automatic
2022 GWM Steed 5 2.2MPi Workhorse,,R 217 900,R            4 148     p/m,101 km,Demo,Manual
2016 BMW 2 Series 228i Coupe M Sport Auto,,R 329 900,R            6 279     p/m,104 000 km,Used Car,Automatic
2014 Bentley Continental GT V8 Convertible,"Birnam, Johannesburg",R 1 945 000,R            37 021     p/m,41 600 km,Used Car,Automatic
2021 Mercedes-AMG GLE GLE53 4Matic+,"Northcliff, Randburg",R 1 929 900,R            36 734     p/m,16 186 km,Used Car,Automatic
2021 Lexus LC 500 Convertible,"Magaliessig, Sandton",R 1 929 900,R            36 734     p/m,7 000 km,Used Car,Automatic
2019 Land Rover Range Rover Vogue SE Supercharged,"Morningside, Sandton",R 1 929 000,R            36 717     p/m,48 500 km,Used Car,Automatic
2022 Audi Q8 55TFSI Quattro,"Waterkloof Glen, Pretoria",R 1 920 000,R            36 545     p/m,48 500 km,Used Car,Automatic
,,,,48 500 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V250d Avantgarde AMG Line,"Bryanston, Sandton",R 1 899 999,R            36 165     p/m,150 km,Used Car,Automatic
2022 Toyota Hilux 2.8GD-6 Double Cab Legend Auto,"Benoni Industrial, Benoni",POA,,300 km,Used Car,Automatic
2022 Land Rover Defender 110 D300 X-Dynamic HSE,"Morningside, Sandton",R 1 899 995,R            36 165     p/m,200 km,Used Car,Automatic
2022 Land Rover Defender 110 D300 X-Dynamic HSE,"Morningside, Sandton",R 1 899 995,R            36 165     p/m,200 km,Used Car,Automatic
2021 Mercedes-Benz V-Class V300d Exclusive,"Morningside, Sandton",R 1 899 995,R            36 165     p/m,7 000 km,Used Car,Automatic
2022 Haval H9 2.0T 4WD Luxury,,R 669 000,R            12 734     p/m,50 km,Used Car,Automatic
2015 Toyota Land Cruiser 76 4.5D-4D LX V8 Station Wagon,,R 879 900,R            16 748     p/m,75 000 km,Used Car,Manual
2017 Kia Sportage 2.0CRDi EX,,R 369 000,R            7 024     p/m,72 000 km,Used Car,Automatic
2018 Mercedes-AMG G-Class G63 Edition 463,"Morningside, Sandton",R 1 899 995,R            36 165     p/m,69 000 km,Used Car,Automatic
2021 Ford Ranger 2.0Bi-Turbo Double Cab 4x4 Wildtrak,"Factoria, Krugersdorp",R 1 899 990,R            36 165     p/m,2 866 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Beyers Park, Boksburg",R 1 899 950,R            36 164     p/m,23 500 km,Used Car,Automatic
2021 Land Rover Defender 110 D300 X-Dynamic HSE,"Paulshof, Sandton",POA,,13 994 km,Used Car,Automatic
,,,,13 994 km,Used Car,Automatic
2006 Ferrari 612 Scaglietti,"Paulshof, Sandton",R 1 899 950,R            36 164     p/m,39 000 km,Used Car,Automatic
2019 Porsche Panamera GTS,"Paulshof, Sandton",R 1 899 950,R            36 164     p/m,42 000 km,Used Car,Automatic
2017 Mercedes-Maybach S-Class S600,"Paulshof, Sandton",R 1 899 950,R            36 164     p/m,63 000 km,Used Car,Automatic
2022 Mercedes-AMG C-Class C43 Cabriolet 4Matic,"Sandton Central, Sandton",R 1 899 950,R            36 164     p/m,1 500 km,Used Car,Automatic
2020 Mercedes-Benz S-Class S560 L,"Sandton Central, Sandton",R 1 899 950,R            36 164     p/m,15 500 km,Used Car,Automatic
2019 Land Rover Range Rover Vogue SE SDV8,"Bedfordview, Bedfordview",R 1 899 950,R            36 164     p/m,57 000 km,Used Car,Automatic
2020 Ford EcoSport 1.0T Trend,,R 279 900,R            5 328     p/m,32 945 km,Used Car,Manual
2019 Ford Fiesta 1.0T Trend Auto,,R 289 900,R            5 518     p/m,17 299 km,Used Car,Automatic
2022 Ford EcoSport 1.0T Titanium Auto,,R 399 900,R            7 612     p/m,5 000 km,Used Car,Automatic
2015 Chevrolet Camaro ZL1,"Barbeque Downs, Midrand",R 1 899 950,R            36 164     p/m,17 000 km,Used Car,Automatic
2022 Land Rover Range Rover Sport HSE Silver TDV6,"Bedfordview, Bedfordview",R 1 899 950,R            36 164     p/m,5 500 km,Used Car,Automatic
2021 Mercedes-AMG GLC GLC63 S 4Matic+,"Constantia Kloof, Roodepoort",R 1 899 950,R            36 164     p/m,12 500 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Bardene, Boksburg",R 1 899 950,R            36 164     p/m,23 500 km,Used Car,Automatic
2022 Jaguar F-Pace SVR,"Jansenpark, Boksburg",R 1 899 900,R            36 163     p/m,2 899 km,Used Car,Automatic
2020 BMW X7 M50d,"Bedfordview, Bedfordview",R 1 899 900,R            36 163     p/m,26 000 km,Used Car,Automatic
2020 BMW X7 M50i,"Bedfordview, Bedfordview",R 1 899 900,R            36 163     p/m,31 000 km,Used Car,Automatic
2022 Jaguar F-Pace SVR,"Highveld Business Park, Centurion",R 1 899 900,R            36 163     p/m,7 500 km,Used Car,Automatic
2022 Jaguar F-Pace SVR,"Highveld Business Park, Centurion",R 1 899 900,R            36 163     p/m,6 000 km,Used Car,Automatic
2020 Porsche Cayenne S Coupe,"Lonehill, Sandton",R 1 899 900,R            36 163     p/m,12 000 km,Used Car,Automatic
2022 Suzuki Swift 1.2 GLX Auto,,R 229 800,R            4 374     p/m,12 000 km,Used Car,Automatic
2022 Suzuki S-Presso 1.0 GL+ Auto,,R 170 900,R            3 253     p/m,12 000 km,Used Car,Automatic
2012 Jeep Wrangler 3.6L Rubicon,,R 439 900,R            8 373     p/m,49 000 km,Used Car,Manual
2014 Mercedes-Benz G-Class G63 AMG,"Vorna Valley, Midrand",R 1 899 900,R            36 163     p/m,15 800 km,Used Car,Automatic
2021 BMW X7 xDrive30d M Sport,"Sandton Central, Sandton",R 1 899 900,R            36 163     p/m,9 000 km,Used Car,Automatic
2021 BMW X6 M50i,"Sandton Central, Sandton",R 1 899 900,R            36 163     p/m,15 000 km,Used Car,Automatic
2021 Lexus LC 500 Convertible,"Gleneagles, Johannesburg",R 1 899 900,R            36 163     p/m,5 773 km,Demo,Automatic
,,,,5 773 km,Demo,Automatic
2022 Toyota Fortuner 2.8GD-6 Auto,"Sandown, Sandton",R 1 899 900,R            36 163     p/m,150 km,Used Car,Automatic
2019 Land Rover Range Rover Vogue SE Supercharged,"Jansenpark, Boksburg",R 1 899 900,R            36 163     p/m,37 420 km,Used Car,Automatic
2022 Land Rover Defender 110 D300 X-Dynamic HSE,"Sandown, Sandton",R 1 899 900,R            36 163     p/m,500 km,Used Car,Automatic
2021 BMW M3 Competition,"Bryanston, Sandton",R 1 899 000,R            36 146     p/m,4 500 km,Used Car,Automatic
2020 BMW M5 M5 Competition,"Oakdene, Johannesburg",R 1 899 000,R            36 146     p/m,10 500 km,Used Car,Automatic
2019 BMW 7 Series M760Li xDrive,"Vorna Valley, Midrand",R 1 899 000,R            36 146     p/m,39 500 km,Used Car,Automatic
2012 Ford Focus ST 3,,R 189 900,R            3 615     p/m,79 000 km,Used Car,Manual
2015 Dodge Journey 3.6 R/T,,R 239 900,R            4 566     p/m,45 000 km,Used Car,Automatic
2019 Hyundai i20 1.2 Fluid,,R 209 900,R            3 995     p/m,88 000 km,Used Car,Manual
2021 Mercedes-Benz GLS GLS400d 4Matic AMG Line,"Waterford Estates, Randburg",R 1 899 000,R            36 146     p/m,35 000 km,Used Car,Automatic
2022 Toyota Fortuner 2.8GD-6 VX,"Sandown, Sandton",R 1 899 000,R            36 146     p/m,200 km,Used Car,Automatic
2021 BMW X7 M50i,"Bardene, Boksburg",R 1 899 000,R            36 146     p/m,14 000 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V250d Avantgarde AMG Line,"Kramerville, Sandton",R 1 899 000,R            36 146     p/m,40 km,Used Car,Automatic
2014 McLaren MP4-12C Coupe,"Kramerville, Sandton",R 1 899 000,R            36 146     p/m,21 000 km,Used Car,Automatic
2016 Mercedes-AMG G-Class G63,"Kramerville, Sandton",R 1 899 000,R            36 146     p/m,55 000 km,Used Car,Automatic
2017 Mercedes-AMG GLE GLE63 S coupe,"Kramerville, Sandton",R 1 899 000,R            36 146     p/m,34 000 km,Used Car,Automatic
2017 Porsche 911 Carrera GTS Cabriolet Auto,"Kramerville, Sandton",R 1 899 000,R            36 146     p/m,29 000 km,Used Car,Automatic
2018 Land Rover Range Rover Sport HSE Dynamic Supercharged,"Kramerville, Sandton",R 1 899 000,R            36 146     p/m,49 000 km,Used Car,Automatic
2018 Maserati GranCabrio GranCabrio Sport,"Kramerville, Sandton",R 1 899 000,R            36 146     p/m,7 900 km,Used Car,Automatic
2010 Hyundai Tucson 2.0 GLS,,R 92 900,R            1 768     p/m,209 000 km,Used Car,Manual
2022 GWM P-Series 2.0TD SX,,R 399 950,R            7 613     p/m,147 km,Used Car,Manual
2021 Kia Picanto 1.0 STREET,,R 179 995,R            3 426     p/m,36 931 km,Used Car,Manual
2022 Land Rover Defender 90 D300 X-Dynamic HSE,"Morningside, Sandton",R 1 896 548,R            36 099     p/m,36 931 km,Used Car,Manual
2016 Mercedes-AMG S-Class S65 Coupe,"Lonehill, Sandton",R 1 895 000,R            36 070     p/m,31 000 km,Used Car,Automatic
2021 Land Rover Defender 110 D300 X-Dynamic SE,"Lonehill, Sandton",R 1 895 000,R            36 070     p/m,17 000 km,Used Car,Automatic
2021 Mercedes-AMG GLE GLE63 S coupe,"Lonehill, Sandton",R 1 895 000,R            36 070     p/m,28 200 km,Used Car,Automatic
2017 Porsche 911 targa 4S Auto,"Lonehill, Sandton",R 1 895 000,R            36 070     p/m,21 000 km,Used Car,Automatic
,,,,21 000 km,Used Car,Automatic
2019 Porsche Panamera GTS,"Paulshof, Sandton",R 1 895 000,R            36 070     p/m,32 600 km,Used Car,Automatic
2022 Land Rover Range Rover Sport HSE TDV6,"Bedfordview, Bedfordview",R 1 889 950,R            35 973     p/m,150 km,Used Car,Automatic
2021 Land Rover Defender 110 D300 X-Dynamic HSE,"Morningside, Sandton",R 1 889 900,R            35 973     p/m,22 000 km,Used Car,Automatic
2020 BMW 7 Series 750Li xDrive Individual,"Craigavon, Sandton",R 1 889 900,R            35 973     p/m,1 165 km,Used Car,Automatic
2019 Mercedes-AMG C-Class C63 S Cabriolet,"Sandton Central, Sandton",R 1 879 950,R            35 783     p/m,27 500 km,Used Car,Automatic
2014 Volkswagen Polo Vivo 5-Door 1.4 Trendline Auto,,R 139 900,R            2 663     p/m,98 000 km,Used Car,Automatic
2020 Nissan Navara 2.3D Double Cab SE Auto,,R 459 900,R            8 754     p/m,51 000 km,Used Car,Automatic
2017 Mercedes-Benz Vito 114 CDI Tourer Pro Auto,,R 459 900,R            8 754     p/m,101 000 km,Used Car,Automatic
2022 Land Rover Discovery D300 R-Dynamic SE,"Waterford Estates, Randburg",R 1 879 000,R            35 765     p/m,1 500 km,Used Car,Automatic
2021 BMW X5 M50d,"Oakdene, Johannesburg",R 1 869 000,R            35 575     p/m,6 000 km,Used Car,Automatic
2022 Audi Q8 45TDI Quattro,"Braamfontein, Johannesburg",R 1 866 050,R            35 519     p/m,6 000 km,Used Car,Automatic
2021 Land Rover Discovery D300 R-Dynamic HSE,"Highveld Business Park, Centurion",R 1 859 900,R            35 401     p/m,33 000 km,Used Car,Automatic
2019 BMW 7 Series 750Li xDrive M Sport,"Bryanston, Sandton",R 1 859 000,R            35 384     p/m,22 000 km,Used Car,Automatic
2021 Porsche Cayenne Coupe,"Morningside, Sandton",R 1 850 000,R            35 213     p/m,9 000 km,Used Car,Automatic
2022 BMW 7 Series 730Ld M Sport,"Bardene, Boksburg",POA,,5 200 km,Used Car,Automatic
2016 Maserati GranTurismo MC Stradale,"Bryanston, Sandton",R 1 849 999,R            35 213     p/m,21 000 km,Used Car,Automatic
2021 Land Rover Range Rover Sport HSE SCV6,"Morningside, Sandton",R 1 849 995,R            35 213     p/m,9 800 km,Used Car,Automatic
